  FASES DA LUA (2000-2010)
  Fonte: U.S. Naval Observatory - Astronomical Applications Department
  Site: http://aa.usno.navy.mil/data/docs/MoonPhase.html

                                                   Hora média da 1ª m   04:05
                                                   Tempo médio entre  06:12:30

        DATA / HORA
         UNIVERSAL            BRASÍLIA - BRASIL           DATA          FASE
      19/06/2010 04:29        19/06/2010 01:29         19/06/2010       cresc
      26/06/2010 11:30        26/06/2010 08:30         26/06/2010       cheia
      04/07/2010 14:35        04/07/2010 11:35         04/07/2010       ming
      11/07/2010 19:40        11/07/2010 16:40         11/07/2010       nova
      18/07/2010 10:11        18/07/2010 07:11         18/07/2010       cresc
      26/07/2010 01:37        25/07/2010 22:37         25/07/2010       cheia
      03/08/2010 04:59        03/08/2010 01:59         03/08/2010       ming
      10/08/2010 03:08        10/08/2010 00:08         10/08/2010       nova
      16/08/2010 18:14        16/08/2010 15:14         16/08/2010       cresc
      24/08/2010 17:05        24/08/2010 14:05         24/08/2010       cheia
      01/09/2010 17:22        01/09/2010 14:22         01/09/2010       ming
      08/09/2010 10:30        08/09/2010 07:30         08/09/2010       nova
      15/09/2010 05:50        15/09/2010 02:50         15/09/2010       cresc
      23/09/2010 09:17        23/09/2010 06:17         23/09/2010       cheia
      01/10/2010 03:52        01/10/2010 00:52         01/10/2010       ming
      07/10/2010 18:44        07/10/2010 15:44         07/10/2010       nova
      14/10/2010 21:27        14/10/2010 18:27         14/10/2010       cresc
      23/10/2010 01:36        22/10/2010 22:36         22/10/2010       cheia
      30/10/2010 12:46        30/10/2010 09:46         30/10/2010       ming
      06/11/2010 04:52        06/11/2010 01:52         06/11/2010       nova
      13/11/2010 16:39        13/11/2010 13:39         13/11/2010       cresc
      21/11/2010 17:27        21/11/2010 14:27         21/11/2010       cheia
      28/11/2010 20:36        28/11/2010 17:36         28/11/2010       ming
      05/12/2010 17:36        05/12/2010 14:36         05/12/2010       nova
      13/12/2010 13:59        13/12/2010 10:59         13/12/2010       cresc
      21/12/2010 08:13        21/12/2010 05:13         21/12/2010       cheia
      28/12/2010 04:18        28/12/2010 01:18         28/12/2010       ming
